,CITY,RANK,STATE,POPULATION,SEXRATIO,LITERACY
226,Tadpatri,453,Andhra Pradesh,108171.0,1003.0,71.39
227,Sultanpur,455,Uttar Pradesh,107640.0,908.0,87.59
228,Shikohabad,457,Uttar Pradesh,107404.0,891.0,80.03
229,Shamli,459,Uttar Pradesh,107266.0,876.0,80.32
230,Khargone,461,Madhya Pradesh,106454.0,947.0,81.93
231,Ranibennur,463,Karnataka,106406.0,969.0,85.97
232,Neyveli,465,Tamil Nadu,105731.0,980.0,90.42
233,Suryapet,467,Andhra Pradesh,105531.0,1025.0,83.09
234,Hindaun,469,Rajasthan,105452.0,889.0,75.31
235,Bhiwadi,471,Rajasthan,104921.0,757.0,79.84
236,Bansberia,473,West Bengal,103920.0,933.0,85.05
237,Miryalaguda,475,Andhra Pradesh,103817.0,996.0,81.4
238,Udgir,477,Maharashtra,103550.0,917.0,84.25
239,Bundi,479,Rajasthan,103286.0,926.0,82.04
240,Ambala Sadar,481,Haryana,103093.0,921.0,88.46
241,Nagaur,483,Rajasthan,102872.0,945.0,70.68
242,Seoni,485,Madhya Pradesh,102343.0,955.0,90.46
243,Greater Noida,487,Uttar Pradesh,102054.0,837.0,86.47
244,Sujangarh,489,Rajasthan,101523.0,956.0,73.33
245,Chilakaluripet,491,Andhra Pradesh,101398.0,1020.0,71.54
246,Kalyani,493,West Bengal,100575.0,983.0,87.9
247,Datia,495,Madhya Pradesh,100284.0,900.0,80.56
248,Banswara,497,Rajasthan,99969.0,960.0,85.72
0,Delhi,2,Delhi,11034555.0,876.0,87.59
1,Hyderabad,4,Andhra Pradesh,6731790.0,955.0,83.26
2,Chennai,6,Tamil Nadu,4646732.0,989.0,90.18
3,Surat,8,Gujarat,4467797.0,756.0,87.89
